 (r-,(r-
 (d-,(d-
rep. ,rep.
.,
?,
"""",
!,
",",
minority leader,minorityleader
majority leader,majorityleader
donald trump,donaldtrump
al franken,alfranken
amy klobuchar,amyklobuchar
angus king,angusking
ben cardin,bencardin
ben sasse,bensasse
bernie sanders,berniesanders
bill cassidy,billcassidy
bill nelson,billnelson
bob casey,bobcasey
bob corker,bobcorker
bob menendez,bobmenendez
brian schatz,brianschatz
catherine masto,catherinemasto
chris coons,chriscoons
christopher murphy,christophermurphy
chris hollen,chrishollen
chuck grassley,chuckgrassley
chuck schumer,chuckschumer
claire mccaskill,clairemccaskill
cory booker,corybooker
cory gardner,corygardner
daniel sullivan,danielsullivan
david perdue,davidperdue
dean heller,deanheller
deb fischer,debfischer
debbie stabenow,debbiestabenow
dianne feinstein,diannefeinstein
dick durbin,dickdurbin
ed markey,edmarkey
elizabeth warren,elizabethwarren
gary peters,garypeters
heidi heitkamp,heidiheitkamp
jack reed,jackreed
james lankford,jameslankford
jeanne shaheen,jeanneshaheen
jeff flake,jeffflake
jeff merkley,jeffmerkley
jerry moran,jerrymoran
jim inhofe,jiminhofe
jim risch,jimrisch
joe donnelly,joedonnelly
joe manchin,joemanchin
john barrasso,johnbarrasso
john boozman,johnboozman
john cornyn,johncornyn
john hoeven,johnhoeven
john mccain,johnmccain
john kennedy,johnkennedy
john thune,johnthune
johnny isakson,johnnyisakson
jon tester,jontester
joni ernst,joniernst
kamala harris,kamalaharris
kirsten gillibrand,kirstengillibrand
lamar alexander,lamaralexander
lindsey graham,lindseygraham
lisa murkowski,lisamurkowski
luther strange,lutherstrange
maggie hassan,maggiehassan
marco rubio,marcorubio
maria cantwell,mariacantwell
mark warner,markwarner
martin heinrich,martinheinrich
mazie hirono,maziehirono
michael bennet,michaelbennet
mike crapo,mikecrapo
mike enzi,mikeenzi
mike lee,mikelee
mike rounds,mikerounds
mitch mcconnell,mitchmcconnell
orrin hatch,orrinhatch
pat roberts,patroberts
pat toomey,pattoomey
patrick leahy,patrickleahy
patty murray,pattymurray
rand paul,randpaul
richard blumenthal,richardblumenthal
richard burr,richardburr
richard shelby,richardshelby
rob portman,robportman
roger wicker,rogerwicker
ron johnson,ronjohnson
ron wyden,ronwyden
roy blunt,royblunt
sheldon whitehouse,sheldonwhitehouse
shelley capito,shelleycapito
sherrod brown,sherrodbrown
steve daines,stevedaines
susan collins,susancollins
tammy baldwin,tammybaldwin
tammy duckworth,tammyduckworth
ted cruz,tedcruz
thad cochran,thadcochran
thom tillis,thomtillis
tim kaine,timkaine
tim scott,timscott
todd young,toddyoung
tom carper,tomcarper
tom cotton,tomcotton
tom udall,tomudall
adam kinzinger,adamkinzinger
adam schiff,adamschiff
adam smith,adamsmith
adrian smith,adriansmith
adriano espaillat,adrianoespaillat
al green,algreen
alan lowenthal,alanlowenthal
albio sires,albiosires
alcee hastings,alceehastings
alexander mooney,alexandermooney
alfred lawson,alfredlawson
alma adams,almaadams
ami bera,amibera
andre carson,andrecarson
andy harris,andyharris
andy barr,andybarr
andy biggs,andybiggs
ann wagner,annwagner
anna eshoo,annaeshoo
annie kuster,anniekuster
anthony brown,anthonybrown
austin scott,austinscott
barbara comstock,barbaracomstock
barbara lee,barbaralee
barry loudermilk,barryloudermilk
ben lujan,benlujan
bennie thompson,benniethompson
beto o'rourke,betoo'rourke
betty mccollum,bettymccollum
bill flores,billflores
bill foster,billfoster
bill huizenga,billhuizenga
bill johnson,billjohnson
bill keating,billkeating
bill pascrell,billpascrell
bill posey,billposey
bill shuster,billshuster
billy long,billylong
blaine luetkemeyer,blaineluetkemeyer
blake farenthold,blakefarenthold
bob gibbs,bobgibbs
bob goodlatte,bobgoodlatte
robert latta,robertlatta
bobby rush,bobbyrush
bobby scott,bobbyscott
bonnie coleman,bonniecoleman
brad schneider,bradschneider
brad sherman,bradsherman
brad wenstrup,bradwenstrup
bradley byrne,bradleybyrne
brenda lawrence,brendalawrence
brendan boyle,brendanboyle
brett guthrie,brettguthrie
brian babin,brianbabin
brian fitzpatrick,brianfitzpatrick
brian higgins,brianhiggins
brian mast,brianmast
bruce poliquin,brucepoliquin
bruce westerman,brucewesterman
carlos curbelo,carloscurbelo
carol shea-porter,carolshea-porter
carolyn maloney,carolynmaloney
cathy rodgers,cathyrodgers
cedric richmond,cedricrichmond
charles fleischmann,charlesfleischmann
charlie crist,charliecrist
charles dent,charlesdent
chellie pingree,chelliepingree
cheri bustos,cheribustos
chris collins,chriscollins
chris smith,chrissmith
chris stewart,chrisstewart
claudia tenney,claudiatenney
clay higgins,clayhiggins
colleen hanabusa,colleenhanabusa
collin peterson,collinpeterson
dan kildee,dankildee
dan newhouse,dannewhouse
dana rohrabacher,danarohrabacher
daniel donovan,danieldonovan
daniel lipinski,daniellipinski
daniel webster,danielwebster
danny davis,dannydavis
darin lahood,darinlahood
darrell issa,darrellissa
darren soto,darrensoto
dave loebsack,daveloebsack
dave reichert,davereichert
david brat,davidbrat
david cicilline,davidcicilline
david joyce,davidjoyce
david kustoff,davidkustoff
david mckinley,davidmckinley
david price,davidprice
david rouzer,davidrouzer
david schweikert,davidschweikert
david scott,davidscott
david trott,davidtrott
david valadao,davidvaladao
david young,davidyoung
debbie dingell,debbiedingell
debbie schultz,debbieschultz
dennis ross,dennisross
denny heck,dennyheck
derek kilmer,derekkilmer
devin nunes,devinnunes
diana degette,dianadegette
diane black,dianeblack
dina titus,dinatitus
don bacon,donbacon
don beyer,donbeyer
don young,donyoung
donald mceachin,donaldmceachin
donald norcross,donaldnorcross
donald payne,donaldpayne
doris matsui,dorismatsui
doug collins,dougcollins
doug lamalfa,douglamalfa
doug lamborn,douglamborn
drew ferguson,drewferguson
duncan hunter,duncanhunter
dutch ruppersberger,dutchruppersberger
dwight evans,dwightevans
earl carter,earlcarter
earl blumenauer,earlblumenauer
ed perlmutter,edperlmutter
eddie johnson,eddiejohnson
edward royce,edwardroyce
elijah cummings,elijahcummings
eliot engel,eliotengel
elise stefanik,elisestefanik
elizabeth esty,elizabethesty
emanuel cleaver,emanuelcleaver
eric swalwell,ericswalwell
erik paulsen,erikpaulsen
evan jenkins,evanjenkins
filemon vela,filemonvela
francis rooney,francisrooney
frank lobiondo,franklobiondo
frank lucas,franklucas
frank pallone,frankpallone
fred upton,fredupton
frederica wilson,fredericawilson
french hill,frenchhill
g.k. butterfield,g.k.butterfield
garret graves,garretgraves
gary palmer,garypalmer
gene green,genegreen
george holding,georgeholding
gerry connolly,gerryconnolly
glenn grothman,glenngrothman
glenn thompson,glennthompson
grace meng,gracemeng
grace napolitano,gracenapolitano
greg gianforte,greggianforte
greg walden,gregwalden
gregg harper,greggharper
gregory meeks,gregorymeeks
gus bilirakis,gusbilirakis
gwen moore,gwenmoore
hakeem jeffries,hakeemjeffries
hal rogers,halrogers
hank johnson,hankjohnson
henry cuellar,henrycuellar
ileana ros-lehtinen,ileanaros-lehtinen
jack bergman,jackbergman
jackie speier,jackiespeier
jackie walorski,jackiewalorski
jacky rosen,jackyrosen
jaime beutler,jaimebeutler
james clyburn,jamesclyburn
james comer,jamescomer
jamie raskin,jamieraskin
jan schakowsky,janschakowsky
jared huffman,jaredhuffman
jared polis,jaredpolis
jason lewis,jasonlewis
jason smith,jasonsmith
jeb hensarling,jebhensarling
jeff denham,jeffdenham
jeff duncan,jeffduncan
jeffrey fortenberry,jeffreyfortenberry
jerrold nadler,jerroldnadler
jerry mcnerney,jerrymcnerney
jim banks,jimbanks
jim bridenstine,jimbridenstine
jim cooper,jimcooper
jim costa,jimcosta
jim himes,jimhimes
jim jordan,jimjordan
jim langevin,jimlangevin
jim mcgovern,jimmcgovern
james renacci,jamesrenacci
jim sensenbrenner,jimsensenbrenner
jimmy gomez,jimmygomez
jimmy panetta,jimmypanetta
joaquin castro,joaquincastro
jodey arrington,jodeyarrington
jody hice,jodyhice
joe barton,joebarton
joe courtney,joecourtney
joe wilson,joewilson
john carter,johncarter
john conyers,johnconyers
john culberson,johnculberson
john curtis,johncurtis
john delaney,johndelaney
john duncan,johnduncan
john faso,johnfaso
john garamendi,johngaramendi
john katko,johnkatko
john larson,johnlarson
john lewis,johnlewis
john moolenaar,johnmoolenaar
john ratcliffe,johnratcliffe
john rutherford,johnrutherford
john sarbanes,johnsarbanes
john shimkus,johnshimkus
john yarmuth,johnyarmuth
josé serrano,joséserrano
joseph crowley,josephcrowley
joseph kennedy,josephkennedy
josh gottheimer,joshgottheimer
joyce beatty,joycebeatty
juan vargas,juanvargas
judy chu,judychu
julia brownley,juliabrownley
justin amash,justinamash
karen bass,karenbass
karen handel,karenhandel
katherine clark,katherineclark
kathleen rice,kathleenrice
kathy castor,kathycastor
kay granger,kaygranger
keith ellison,keithellison
keith rothfus,keithrothfus
ken buck,kenbuck
ken calvert,kencalvert
kenny marchant,kennymarchant
kevin brady,kevinbrady
kevin cramer,kevincramer
kevin mccarthy,kevinmccarthy
kevin yoder,kevinyoder
kristi noem,kristinoem
kurt schrader,kurtschrader
kyrsten sinema,kyrstensinema
lamar smith,lamarsmith
larry bucshon,larrybucshon
lee zeldin,leezeldin
leonard lance,leonardlance
linda sanchez,lindasanchez
lisa rochester,lisarochester
liz cheney,lizcheney
lloyd doggett,lloyddoggett
lloyd smucker,lloydsmucker
lois frankel,loisfrankel
lou barletta,loubarletta
lou correa,loucorrea
louis gohmert,louisgohmert
louise slaughter,louiseslaughter
lucille roybal-allard,lucilleroybal-allard
luis gutierrez,luisgutierrez
luke messer,lukemesser
lynn jenkins,lynnjenkins
mac thornberry,macthornberry
marc veasey,marcveasey
marcia fudge,marciafudge
marcy kaptur,marcykaptur
mario diaz-balart,mariodiaz-balart
mark amodei,markamodei
mark desaulnier,markdesaulnier
mark meadows,markmeadows
mark pocan,markpocan
mark sanford,marksanford
mark takano,marktakano
mark walker,markwalker
markwayne mullin,markwaynemullin
marsha blackburn,marshablackburn
martha mcsally,marthamcsally
martha roby,martharoby
matt cartwright,mattcartwright
matt gaetz,mattgaetz
maxine waters,maxinewaters
mia love,mialove
mike bishop,mikebishop
michael burgess,michaelburgess
michael capuano,michaelcapuano
michael doyle,michaeldoyle
mike gallagher,mikegallagher
michael mccaul,michaelmccaul
michael simpson,michaelsimpson
michael turner,michaelturner
michelle grisham,michellegrisham
mike bost,mikebost
mike coffman,mikecoffman
mike conaway,mikeconaway
mike johnson,mikejohnson
mike kelly,mikekelly
mike quigley,mikequigley
mike rogers,mikerogers
mike thompson,mikethompson
mimi walters,mimiwalters
mo brooks,mobrooks
morgan griffith,morgangriffith
nancy pelosi,nancypelosi
nanette barragan,nanettebarragan
neal dunn,nealdunn
niki tsongas,nikitsongas
nita lowey,nitalowey
norma torres,normatorres
nydia velazquez,nydiavelazquez
patrick mchenry,patrickmchenry
patrick meehan,patrickmeehan
patrick tiberi,patricktiberi
paul cook,paulcook
paul gosar,paulgosar
paul mitchell,paulmitchell
paul ryan,paulryan
paul tonko,paultonko
pete aguilar,peteaguilar
pete olson,peteolson
pete sessions,petesessions
peter defazio,peterdefazio
peter king,peterking
peter roskam,peterroskam
peter visclosky,petervisclosky
peter welch,peterwelch
phil roe,philroe
pramila jayapal,pramilajayapal
raja krishnamoorthi,rajakrishnamoorthi
ralph abraham,ralphabraham
ralph norman,ralphnorman
randy hultgren,randyhultgren
randy weber,randyweber
raul grijalva,raulgrijalva
raul labrador,raullabrador
raul ruiz,raulruiz
richard hudson,richardhudson
richard neal,richardneal
rick allen,rickallen
rick crawford,rickcrawford
rick larsen,ricklarsen
rick nolan,ricknolan
ro khanna,rokhanna
rob bishop,robbishop
rob wittman,robwittman
rob woodall,robwoodall
robert aderholt,robertaderholt
robert brady,robertbrady
robert pittenger,robertpittenger
robin kelly,robinkelly
rod blum,rodblum
rodney davis,rodneydavis
rodney frelinghuysen,rodneyfrelinghuysen
roger marshall,rogermarshall
roger williams,rogerwilliams
ron desantis,rondesantis
ron estes,ronestes
ron kind,ronkind
rosa delauro,rosadelauro
ruben gallego,rubengallego
ruben kihuen,rubenkihuen
ryan costello,ryancostello
salud carbajal,saludcarbajal
sam graves,samgraves
sam johnson,samjohnson
sandy levin,sandylevin
sanford bishop,sanfordbishop
scott desjarlais,scottdesjarlais
scott perry,scottperry
scott peters,scottpeters
scott taylor,scotttaylor
scott tipton,scotttipton
sean duffy,seanduffy
sean maloney,seanmaloney
seth moulton,sethmoulton
sheila lee,sheilalee
steny hoyer,stenyhoyer
stephanie murphy,stephaniemurphy
stephen knight,stephenknight
stephen lynch,stephenlynch
steve chabot,stevechabot
steve cohen,stevecohen
steve king,steveking
steve pearce,stevepearce
steve russell,steverussell
steve scalise,stevescalise
steve stivers,stevestivers
steve womack,stevewomack
steven palazzo,stevenpalazzo
susan brooks,susanbrooks
susan davis,susandavis
suzan delbene,suzandelbene
suzanne bonamici,suzannebonamici
ted budd,tedbudd
theodore deutch,theodoredeutch
ted lieu,tedlieu
ted poe,tedpoe
ted yoho,tedyoho
terri sewell,terrisewell
thomas garrett,thomasgarrett
thomas massie,thomasmassie
thomas rooney,thomasrooney
tim ryan,timryan
tim walberg,timwalberg
tim walz,timwalz
todd rokita,toddrokita
tom cole,tomcole
tom emmer,tomemmer
tom graves,tomgraves
tom macarthur,tommacarthur
tom marino,tommarino
tom mcclintock,tommcclintock
tom o'halleran,tomo'halleran
tom reed,tomreed
tom rice,tomrice
tom suozzi,tomsuozzi
tony cardenas,tonycardenas
trent franks,trentfranks
trent kelly,trentkelly
trey gowdy,treygowdy
trey hollingsworth,treyhollingsworth
tulsi gabbard,tulsigabbard
val demings,valdemings
vern buchanan,vernbuchanan
vicente gonzález,vicentegonzález
vicky hartzler,vickyhartzler
virginia foxx,virginiafoxx
walter jones,walterjones
warren davidson,warrendavidson
will hurd,willhurd
william clay,williamclay
yvette clarke,yvetteclarke
zoe lofgren,zoelofgren
kay ivey,kayivey
william walker,williamwalker
douglas ducey,douglasducey
william hutchinson,williamhutchinson
edmund brown,edmundbrown
john hickenlooper,johnhickenlooper
dannel malloy,dannelmalloy
john carney,johncarney
richard scott,richardscott
john deal,johndeal
david ige,davidige
clement otter,clementotter
bruce rauner,brucerauner
eric holcomb,ericholcomb
kimberly reynolds,kimberlyreynolds
samuel brownback,samuelbrownback
matthew bevin,matthewbevin
john edwards,johnedwards
paul lepage,paullepage
lawrence hogan,lawrencehogan
charles baker,charlesbaker
richard snyder,richardsnyder
mark dayton,markdayton
dewey bryant,deweybryant
eric greitens,ericgreitens
stephen bullock,stephenbullock
john ricketts,johnricketts
brian sandoval,briansandoval
christopher sununu,christophersununu
christopher christie,christopherchristie
susana martinez,susanamartinez
andrew cuomo,andrewcuomo
roy cooper,roycooper
douglas burgum,douglasburgum
john kasich,johnkasich
mary fallin,maryfallin
katherine brown,katherinebrown
thomas wolf,thomaswolf
gina raimondo,ginaraimondo
henry mcmaster,henrymcmaster
dennis daugaard,dennisdaugaard
william haslam,williamhaslam
gregory abbott,gregoryabbott
gary herbert,garyherbert
philip scott,philipscott
terry mcauliffe,terrymcauliffe
jay inslee,jayinslee
james justice,jamesjustice
scott walker,scottwalker
matthew mead,matthewmead
steve bannon,stevebannon
roy moore,roymoore
access hollywood,accesshollywood
’s,
“,
”,
—,
|,
(,
),
-, 
$,
*,
:, 
[,
],
;,
&,
–,
?,
\,
/,
1,
2,
3,
4,
5,
6,
7,
8,
9,
0,
%,
